y/x (mm),0,6.2,15,23.8,32.6,41.4,50.2,59,67.8,76.6,85.4,94.2,100.4
79.2,0.872,0.573,0.46,0.407,0.38,0.367,0.362,0.367,0.38,0.409,0.464,0.597,0.977
70.4,0.624,0.569,0.49,0.443,0.412,0.397,0.392,0.397,0.413,0.445,0.498,0.581,0.63
61.6,0.547,0.529,0.492,0.458,0.433,0.419,0.415,0.42,0.434,0.46,0.497,0.536,0.55
52.8,0.513,0.505,0.486,0.464,0.447,0.435,0.432,0.436,0.448,0.466,0.489,0.509,0.515
44,0.496,0.492,0.481,0.467,0.455,0.447,0.444,0.447,0.455,0.468,0.483,0.494,0.498
35.2,0.487,0.484,0.477,0.468,0.459,0.454,0.452,0.454,0.46,0.469,0.478,0.485,0.488
26.4,0.481,0.479,0.474,0.468,0.462,0.458,0.457,0.458,0.463,0.469,0.476,0.481,0.482
17.6,0.478,0.476,0.473,0.468,0.464,0.461,0.46,0.461,0.465,0.469,0.474,0.478,0.478
8.8,0.476,0.475,0.472,0.468,0.465,0.462,0.461,0.463,0.465,0.469,0.473,0.476,0.477
0,0.475,0.474,0.472,0.468,0.465,0.463,0.462,0.463,0.466,0.469,0.473,0.476,0.476
-8.8,0.475,0.474,0.472,0.468,0.465,0.462,0.462,0.463,0.466,0.469,0.473,0.476,0.477
-17.6,0.477,0.475,0.472,0.468,0.464,0.461,0.46,0.462,0.465,0.469,0.474,0.477,0.478
-26.4,0.479,0.478,0.474,0.468,0.462,0.459,0.458,0.46,0.464,0.469,0.475,0.479,0.48
