0.00 0.00 0.372
1.15 0.00 0.372
2.30 0.00 0.372
3.45 0.00 0.372
4.60 0.00 0.371
5.75 0.00 0.372
6.90 0.00 0.372
8.05 0.00 0.372
9.20 0.00 0.372
0.00 1.15 0.374
1.15 1.15 0.371
2.30 1.15 0.37
3.45 1.15 0.366
4.60 1.15 0.363
5.75 1.15 0.367
6.90 1.15 0.371
8.05 1.15 0.373
9.20 1.15 0.375
0.00 2.30 0.377
1.15 2.30 0.373
2.30 2.30 0.369
3.45 2.30 0.363
4.60 2.30 0.36
5.75 2.30 0.366
6.90 2.30 0.364
8.05 2.30 0.368
9.20 2.30 0.374
0.00 3.45 0.38
1.15 3.45 0.373
2.30 3.45 0.369
3.45 3.45 0.365
4.60 3.45 0.36
5.75 3.45 0.363
6.90 3.45 0.367
8.05 3.45 0.374
9.20 3.45 0.379
0.00 4.60 0.381
1.15 4.60 0.375
2.30 4.60 0.37
3.45 4.60 0.364
4.60 4.60 0.362
5.75 4.60 0.362
6.90 4.60 0.368
8.05 4.60 0.374
9.20 4.60 0.384
0.00 5.75 0.386
1.15 5.75 0.378
2.30 5.75 0.366
3.45 5.75 0.356
4.60 5.75 0.352
5.75 5.75 0.356
6.90 5.75 0.364
8.05 5.75 0.372
9.20 5.75 0.383
0.00 6.90 0.392
1.15 6.90 0.373
2.30 6.90 0.36
3.45 6.90 0.348
4.60 6.90 0.344
5.75 6.90 0.348
6.90 6.90 0.355
8.05 6.90 0.37
9.20 6.90 0.39
0.00 8.05 0.404
1.15 8.05 0.372
2.30 8.05 0.346
3.45 8.05 0.329
4.60 8.05 0.327
5.75 8.05 0.33
6.90 8.05 0.348
8.05 8.05 0.372
9.20 8.05 0.402
